experiment_id,experiment_name,model,accuracy,f1_macro,f1_bad,roc_auc,precision_bad,recall_bad,threshold,embed_dim,embed_dim_note,cv_accuracy_std,cv_f1_macro_std,cv_f1_bad_std,cv_roc_auc_std,cv_precision_bad_std,cv_recall_bad_std,cv_threshold_std,notes,num_params,train_time_sec
exp_whisper_svm,Whisper-small encoder + SVM,Whisper-small (frozen) + SVM RBF,0.8149038461538461,0.7893061283554013,0.7158671586715867,0.9017529985501516,0.7132352941176471,0.7185185185185186,0.348,2304,Whisper encoder 768-dim × 3 (mean+std+max),0.012551827756725935,0.009301805774927611,0.007265684278811259,0.004903665914365515,0.03218821051866018,0.042209348949963164,0.06734983296193094,"5-fold CV + holdout | best={'clf__C': 1.0, 'clf__gamma': 'scale'} | thr=0.35",,4930.370682180001
exp_whisper_medium_svm,Whisper-medium encoder + SVM,Whisper-medium (frozen) + SVM RBF,0.8389423076923077,0.8129785078272306,0.7432950191570882,0.9047317780413866,0.7698412698412699,0.7185185185185186,0.394,3072,Whisper encoder 1024-dim × 3 (mean+std+max),0.025290693970887314,0.018998274008198954,0.014418802885302989,0.0062117591450643475,0.072674942649675,0.07576646568816209,0.1377824371971987,"5-fold CV + holdout | best={'clf__C': 1.0, 'clf__gamma': 'scale'} | thr=0.39",,6473.332642424001
